Season,RaceName,Circuit,Session,Driver,Team,LapNumber,LapInStint,Compound,Stint,LapTimeSec,NormalizedPace,Sector1Sec,Sector2Sec,Sector3Sec,Position,TrackStatus,TrackType
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,56.0,26,HARD,2.0,96.387,1.0201193827657007,28.611,40.869,26.907,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,57.0,27,HARD,2.0,96.402,1.0202781364434943,28.622,40.787,26.993,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,58.0,28,HARD,2.0,96.171,1.0178333298054738,28.499,40.749,26.923,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,59.0,29,HARD,2.0,95.967,1.0156742797874816,28.352,40.694,26.921,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,60.0,30,HARD,2.0,96.343,1.0196537053108397,28.536,40.793,27.014,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,61.0,31,HARD,2.0,96.013,1.016161124399382,28.446,40.738,26.829,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,62.0,32,HARD,2.0,96.931,1.0258768494803463,28.636,40.974,27.321,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,2.0,1,MEDIUM,1.0,98.939,1.0471286751476407,29.283,41.853,27.803,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,3.0,2,MEDIUM,1.0,99.35,1.0514785259191837,29.077,42.332,27.941,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,4.0,3,MEDIUM,1.0,99.356,1.0515420273903011,29.343,42.235,27.778,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,5.0,4,MEDIUM,1.0,98.667,1.0442499417903182,29.101,41.853,27.713,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,6.0,5,MEDIUM,1.0,98.778,1.0454247190059902,29.132,41.923,27.723,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,7.0,6,MEDIUM,1.0,98.419,1.041625214317465,29.002,41.742,27.675,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,8.0,7,MEDIUM,1.0,97.873,1.0358465804457804,28.888,41.45,27.535,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,9.0,8,MEDIUM,1.0,98.446,1.0419109709374934,29.101,41.692,27.653,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,10.0,9,MEDIUM,1.0,98.429,1.0417310501026606,29.15,41.615,27.664,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,11.0,10,MEDIUM,1.0,98.269,1.0400376775395297,29.083,41.491,27.695,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,12.0,11,MEDIUM,1.0,98.151,1.0387888152742204,28.845,41.706,27.6,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,13.0,12,MEDIUM,1.0,98.215,1.039466164299473,28.881,41.633,27.701,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,14.0,13,MEDIUM,1.0,97.651,1.0334970260144358,28.822,41.347,27.482,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,15.0,14,MEDIUM,1.0,98.435,1.041794551573778,29.004,41.615,27.816,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,16.0,15,MEDIUM,1.0,98.088,1.0381220498274875,29.003,41.57,27.515,5.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,17.0,16,MEDIUM,1.0,98.532,1.0428211586901763,28.941,41.907,27.684,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,18.0,17,MEDIUM,1.0,98.188,1.0391804076794446,28.981,41.599,27.608,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,19.0,18,MEDIUM,1.0,98.749,1.0451177952289228,28.849,42.365,27.535,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,20.0,19,MEDIUM,1.0,98.317,1.0405456893084688,28.98,41.765,27.572,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,21.0,20,MEDIUM,1.0,98.275,1.0401011790106471,28.855,41.872,27.548,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,22.0,21,MEDIUM,1.0,98.415,1.0415828800033868,29.002,41.924,27.489,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,23.0,22,MEDIUM,1.0,98.262,1.0399635924898927,28.955,41.809,27.498,4.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,PIA,McLaren,24.0,23,MEDIUM,1.0,98.403,1.041455877061152,28.958,42.0,27.445,4.0,1,Street
